FID,NAME,ADDRESS,CITY,STATE,ZIP
750,PAPA JOHN'S CARDINAL STADIUM,2800 SOUTH FLOYD STREET,LOUISVILLE,KY,40209
751,STROH CENTER,1535 WOOSTER STREET,BOWLING GREEN,OH,43042
752,JENNY CRAIG PAVILION,5998 ALCALA PARK WAY,SAN DIEGO,CA,92110
753,COMMONWEALTH STADIUM,UK COLLEGE WAY AND SPORTS CENTER DRIVE,LEXINGTON,KY,40506
754,MCDOUGALD-MCLENDON GYMNASIUM,1801 FAYETTEVILLE STREET,DURHAM,NC,27707
755,LEAVEY CENTER,500 EL CAMINO REAL,SANTA CLARA,CA,95053
756,TIGER STADIUM,WEST STADIUM ROAD,BATON ROUGE,LA,70802
757,PHYSICAL EDUCATION COMPLEX,2523 GWYNNS FALLS PARKWAY,BALTIMORE,MD,21212
758,CHACE ATHLETIC CENTER,1150 DOUGLAS PIKE,SMITHFIELD,RI,2917
759,CAJUN FIELD,201 REINHARDT DRIVE,LAFAYETTE,LA,70506
760,VADALABENE CENTER,NORTH CIRCLE DRIVE AND NORTHWEST ROAD,EDWARDSVILLE,IL,62026
761,AUBURN ARENA,HEISMAN DRIVE AND CONNECTOR,AUBURN,AL,36849
762,MALONE STADIUM,WARHAWK WAY AND NORTHEAST DRIVE,MONROE,LA,71203
763,TD ARENA,MEETING STREET AND BURNS LANE,CHARLESTON,SC,29401
764,JOE AILLET STADIUM,STADIUM BOULEVARD,RUSTON,LA,71272
765,DAKOTADOME,TAYLOR STREET,VERMILLION,SD,57069
766,ALUMNI STADIUM,CAMPANELLA WAY,CHESTNUT HILL,MA,2467
767,FREDRICK C. HOBDY ASSEMBLY CENTER,1234 GRAMBLING ROAD,GRAMBLING,LA,71245
768,BYRD STADIUM,STADIUM DRIVE AND VALLEY DRIVE,COLLEGE PARK,MD,20742
769,LADD-PEEBLES STADIUM,1621 VIRGINIA STREET,MOBILE,AL,36604
770,NAVY-MARINE CORPS MEMORIAL STADIUM,304 FARRAGUT ROAD,ANNAPOLIS,MD,21401
771,WARREN MCGUIRK ALUMNI STADIUM,300 STADIUM DRIVE,HADLEY,MA,1003
772,MICHIGAN STADIUM,1201 SOUTH MAIN STREET,ANN ARBOR,MI,48104
773,JIM WACKER FIELD AT BOBCAT STADIUM,1100 AQUARENA SPRINGS DRIVE,SAN MARCOS,TX,78666
